Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
101.641933, 0.315564, 0.282785, -0.000182, -0.004523, 1.377463, -57.164734
101.643934, 0.315560, 0.282777, -0.000942, -0.004178, 0.000000, -57.164734
101.645934, 0.315564, 0.282766, 0.000922, -0.004169, 0.000000, -57.164734
101.647935, 0.315564, 0.282758, 0.000944, -0.004434, 1.033098, -57.164734
101.649935, 0.315564, 0.282751, 0.000039, -0.004586, 1.377463, -57.164734
101.651936, 0.315560, 0.282740, -0.000940, -0.004460, 1.377463, -57.164734
101.653937, 0.315560, 0.282732, -0.000946, -0.004587, 1.377463, -57.164734
101.655938, 0.315564, 0.282721, 0.000907, -0.004726, 0.000000, -57.164734
101.657938, 0.315564, 0.282709, 0.000946, -0.004734, 1.377463, -57.164734
101.659939, 0.315564, 0.282702, 0.000946, -0.004732, 1.377463, -57.164734
101.661941, 0.315564, 0.282694, -0.000803, -0.004967, 0.000000, -57.164734
101.663943, 0.315560, 0.282683, -0.000946, -0.005008, 0.000000, -57.164734
101.665944, 0.315564, 0.282668, 0.000915, -0.005255, 0.000000, -57.164734
101.667946, 0.315564, 0.282664, 0.000944, -0.005008, 1.377463, -56.820368
101.669947, 0.315560, 0.282652, -0.000643, -0.005255, 0.000000, -57.164734
101.671948, 0.315564, 0.282641, 0.000372, -0.005389, 0.000000, -57.164734
101.673949, 0.315564, 0.282630, 0.000943, -0.005600, 0.000000, -57.164734
101.675950, 0.315564, 0.282618, 0.000264, -0.005165, 1.377463, -56.820368
101.677951, 0.315560, 0.282607, -0.000939, -0.005430, 0.000000, -56.820368
101.679952, 0.315564, 0.282600, 0.000643, -0.005600, 0.000000, -57.164734
101.681953, 0.315564, 0.282588, 0.000500, -0.005552, 1.377463, -56.820368
101.683954, 0.315560, 0.282577, -0.000932, -0.005672, 1.377463, -57.164734
101.685955, 0.315560, 0.282558, -0.000265, -0.005677, 1.377463, -56.820368
101.687956, 0.315564, 0.282554, 0.000786, -0.006123, 0.000000, -56.820368
101.689957, 0.315564, 0.282543, 0.000945, -0.006126, 0.000000, -56.820368
101.691957, 0.315564, 0.282528, 0.000021, -0.005982, 0.688732, -56.820368
101.693958, 0.315564, 0.282516, 0.000000, -0.006336, 0.000000, -56.820368
101.695959, 0.315564, 0.282505, 0.000000, -0.006012, 0.000000, -56.820368
101.697960, 0.315564, 0.282490, 0.000000, -0.006536, 0.000000, -57.164734
101.699960, 0.315564, 0.282478, 0.000000, -0.006173, 0.000000, -56.820368
